"sim1_repl1_before","sim1_repl1_after","sim1_repl2_before","sim1_repl2_after"
4039,1272,4502,782
155,8,324,62
1116,407,890,564
1402,1392,1567,358
4623,1579,5408,2814
573,114,517,144
446,84,714,306
2497,1020,3536,2145
2322,1404,2835,2090
892,894,1165,399
1465,626,1802,1621
1860,892,1779,365
1132,281,1051,271
1955,200,1944,2381
1308,249,1453,417
672,335,906,176
545,130,583,544
2224,328,3367,972
1137,604,1757,700
3508,1436,4025,2156
1748,774,2444,1591
2229,431,2639,136
1668,1236,2275,455
1094,1135,1404,306
2156,554,3287,1571
1818,629,2473,439
770,229,945,174
1419,961,2089,853
209,30,328,199
1898,800,2261,1519
1176,214,1246,162
4288,1888,4642,967
1281,370,1284,556
1753,587,2545,1013
529,118,672,812
539,111,1035,601
4549,1339,4845,1629
1800,934,2229,749
1969,1782,2411,2978
2749,1749,4357,2959
1495,1542,1941,636
1826,901,2892,368
1840,1552,2324,1973
996,151,1230,369
601,168,848,604
676,98,996,92
2121,583,3237,979
2914,751,3409,1277
2718,766,3688,1149
1395,417,1441,300
4631,4226,4531,2229
1140,376,1584,317
980,360,1126,361
166,26,384,186
1814,658,2534,774
922,447,1263,316
981,142,1295,237
922,550,905,260
809,174,665,454
426,155,503,214
2890,1361,3325,3563
1826,559,2657,419
2079,246,2212,739
4420,1360,4723,5124
542,232,778,253
950,182,1550,960
5523,1446,6025,2107
454,9,673,143
939,384,1194,631
919,258,1219,559
528,291,598,185
1795,590,1959,303
1042,451,1029,360
2958,955,3568,1206
1966,1001,2912,628
2840,796,3048,1108
319,175,345,52
650,323,521,41
2117,393,2291,1218
1337,368,1409,828
865,492,952,325
1823,586,2004,1300
1368,985,1847,852
914,179,1477,689
1105,648,1141,237
3040,1201,3292,1438
908,216,1267,421
1091,174,1162,588
426,208,843,898
670,249,868,258
2089,780,2732,1778
2247,439,3024,1253
1567,2561,1946,1584
2731,2959,3068,337
1560,349,1647,956
1009,264,942,476
377,131,419,239
1622,182,2393,894
2245,787,2434,96
4950,2495,5747,1813
3572,1760,3649,855
117,44,177,4
1276,1014,1376,1635
1921,391,2579,1683
1699,1174,2316,1023
1330,424,934,241
1182,660,1169,532
1244,372,1857,333
889,143,1786,686
1737,446,2145,848
1639,444,1397,477
2233,1732,2727,1447
1687,518,1731,1011
2497,189,3022,1997
1523,654,1875,725
2207,1503,2491,1045
2359,957,2397,1900
1251,487,1152,502
993,446,1279,520
1118,552,1304,765
3648,825,5137,4015
2908,2765,3227,3118
1559,763,1802,858
2216,977,2129,1186
1385,464,1429,151
5718,1684,7231,2595
2729,224,3860,1794
1937,569,2505,1757
482,145,948,499
1186,795,1393,381
750,353,1107,488
359,114,488,113
1728,808,2534,892
829,667,1138,657
314,197,619,201
1060,854,1158,187
479,116,928,63
2593,1227,3386,874
1265,719,1411,891
1275,258,1255,1049
5142,4932,6331,3865
1956,521,3392,1226
456,359,456,148
2194,738,2545,1000
308,170,699,302
118,41,24,42
654,328,878,282
842,332,810,319
1126,529,1583,465
652,703,1082,52
1041,627,688,109
2373,1753,3114,1617
964,514,1226,415
1738,803,2668,963
896,64,1275,252
1122,736,1752,377
525,136,706,465
2261,353,2591,163
1624,294,1918,1961
350,406,324,85
1133,337,2050,1806
2053,144,1931,475
501,107,579,117
1061,469,1098,368
1803,948,1948,931
2054,349,2072,1346
940,274,1315,273
1820,1536,2227,279
1233,674,1352,779
2097,694,2339,1689
2193,788,3159,854
1286,497,1839,1676
1378,605,1387,536
1763,781,2244,1068
2225,1134,3299,1993
2019,679,1823,523
2073,1039,2503,919
1970,1050,2924,2117
1733,615,1809,463
467,153,636,299
640,113,875,53
1055,294,990,175
2458,2904,2713,222
1375,391,1614,1205
1023,487,1139,655
671,156,813,358
1830,2445,2176,226
1399,387,1543,247
1192,292,1827,1292
746,763,620,317
1102,355,974,387
4099,1670,4755,2591
1898,2036,2461,739
1397,211,1464,589
1183,619,1387,416
501,431,540,296
1647,519,2528,2189
982,531,1089,541
2448,544,2749,2237
4189,3803,5186,972
1213,1220,1890,1483
2533,695,3785,411
1966,2063,2552,654
538,377,620,538
804,1219,869,236
596,131,639,615
2058,859,2809,1090
2204,665,2953,897
1259,361,1591,593
3841,1101,4187,2125
2454,3382,2709,1178
1635,1162,2110,918
1736,334,1618,1033
1072,473,1214,844
992,321,2358,828
1412,429,1474,292
625,195,778,586
2700,1473,3825,633
1258,581,1687,440
2092,964,3412,216
727,681,1145,923
1793,954,1781,1256
1301,454,1279,168
2072,660,2069,579
1568,585,2070,910
3333,1424,3503,859
1167,648,1111,378
1289,632,1727,1031
2511,1852,2751,1148
1164,420,1527,762
1012,725,1288,624
576,327,576,448
1703,530,2314,1471
285,209,244,129
1293,753,1722,280
2525,1226,2941,604
2819,1067,2904,3328
2101,889,1393,114
2934,914,3813,1377
1399,627,1866,1078
2447,1339,2477,1276
402,135,621,153
3678,1580,4108,2841
368,142,561,274
752,292,935,231
2942,960,4346,2790
2196,2064,1609,474
1580,1136,1843,930
769,367,1014,762
902,236,818,48
554,160,772,142
1984,883,2028,896
852,154,1196,658
2126,1132,2507,731
937,1260,1073,700
2125,2662,2858,2409
839,251,807,81
1666,674,1661,1213
3307,2415,4264,1667
2456,663,2294,726
1111,225,1188,350
2128,401,2468,1227
539,355,649,360
3004,1806,2407,522
434,120,532,360
3209,3146,4292,2154
3251,2541,5125,1336
912,199,1100,637
324,320,448,134
1888,1228,2194,226
1688,515,2259,487
2281,1579,2778,624
1354,957,1429,323
1284,656,1399,274
571,639,889,381
1890,1019,2582,228
2646,1243,2756,1742
425,433,556,341
1647,247,1316,530
1147,311,1341,344
4964,2955,6174,2698
726,84,928,157
388,282,774,81
1538,811,2172,379
3901,697,5354,1707
1194,234,1529,278
909,282,978,281
595,73,699,115
2901,2315,2966,2072
677,199,1182,271
1279,1822,1672,1081
736,207,705,340
501,136,901,534
867,217,828,720
3591,1230,4310,4397
614,273,1018,667
1650,1423,1625,348
1293,984,1099,373
3269,422,3773,1621
1785,270,2510,1140
3838,549,5080,3509
1957,1441,2558,463
551,312,908,565
921,87,1091,613
578,236,760,140
1355,602,1836,1518
391,224,442,154
1350,423,2149,365
1287,164,1385,452
746,488,761,415
165,8,286,75
3088,1878,3823,1142
1388,679,2081,560
885,444,1135,659
3007,1813,3962,1043
4014,987,5410,800
1754,1731,2197,2648
2146,1281,2623,369
963,595,1255,1679
2174,655,2697,1155
2343,479,1991,495
2018,1040,2227,288
1866,559,3198,1423
956,381,1109,159
1027,733,991,860
1111,178,1069,379
1790,310,2094,482
1752,819,1595,85
1131,867,1404,113
661,717,530,307
400,80,471,250
3300,2440,4605,3302
653,218,692,538
302,98,344,174
1080,812,1639,321
1405,474,1908,579
860,344,1106,640
1727,344,1734,968
2066,805,2490,973
1225,1014,1365,312
1699,695,2175,400
2768,1925,2904,1418
1468,489,1061,896
1008,424,1242,239
1241,532,1880,66
5207,1735,5336,2340
313,29,814,66
1752,496,1633,577
5471,2428,7666,3644
2274,1522,2288,3231
2170,1118,3158,880
647,502,782,185
1212,581,1562,1070
1505,402,2506,1241
1016,244,1409,416
1562,340,1899,60
789,381,918,162
3004,2691,3114,1719
242,45,134,58
1782,1091,1684,291
2366,2265,3115,971
907,366,507,57
558,405,1035,462
710,454,1230,405
1857,842,1899,1368
270,71,407,183
1855,1759,2119,514
1007,585,1194,667
1905,1113,2097,1260
390,205,384,103
1431,287,1600,656
799,803,1234,475
3248,1169,4563,1863
2810,2260,3192,1490
1518,361,1714,1252
2129,701,2263,1632
908,335,905,219
1000,294,1123,768
871,569,873,231
2272,432,2828,1699
1578,540,2044,895
585,576,947,505
1139,854,1768,164
602,273,465,312
2366,1054,2411,1143
801,358,1026,803
1905,48,1901,173
2541,1265,3092,1456
386,258,661,160
774,52,826,244
2267,1300,3103,1293
403,112,693,386
894,441,1063,491
3900,642,5035,2299
1521,342,1732,537
1209,414,1150,107
958,124,1498,2054
1037,831,1755,875
461,224,433,190
2609,168,3480,233
1211,849,1446,124
104,142,250,129
1973,818,2567,837
1580,833,2432,886
1901,1032,2334,1850
555,434,727,135
3893,1147,4816,1087
1288,342,1205,983
1605,544,2510,811
6497,6922,6912,2635
632,41,604,211
986,207,989,358
1169,464,1264,168
431,232,584,370
1333,392,1228,783
834,441,1411,1297
2189,828,2463,1300
203,164,338,188
1600,915,1658,580
2488,433,3127,1177
1413,603,1467,552
974,78,1382,769
1393,708,1452,566
2808,1187,3291,1634
3869,1117,4623,1997
1679,216,3329,764
1351,369,2059,911
2067,1006,3121,1902
2019,332,2115,2391
1084,123,959,562
1402,1793,1443,1469
891,697,1245,501
1922,735,2145,632
607,356,625,126
283,100,380,108
1684,125,1723,259
1109,668,1987,689
3312,1868,5383,1311
1098,276,1691,292
1445,1989,2482,3392
614,219,741,227
1372,433,1640,1967
1398,441,1983,1377
492,260,599,551
3257,2147,3549,1913
1096,765,961,384
1582,402,1982,1874
2868,867,2541,1380
693,133,1212,350
1189,193,1456,231
1180,872,1518,111
914,319,1157,759
1453,417,1587,352
1607,795,1322,982
1160,294,1455,264
3364,1807,4586,2581
1673,330,2059,587
2212,576,2637,1777
1509,281,1618,1558
1428,526,1232,610
951,690,1390,801
2148,348,2436,1037
1676,990,2370,734
1731,864,2290,464
1124,400,1309,602
975,271,1057,103
1670,1129,1822,389
635,244,836,214
2950,461,3713,847
210,151,555,254
573,313,619,278
1515,351,1622,452
916,169,889,226
1588,708,1869,673
1567,355,2518,1318
426,150,309,106
2434,1313,2675,1106
2071,1319,2827,1117
59,172,96,18
456,270,612,71
1367,174,1680,641
501,271,843,471
705,665,704,130
1908,460,2879,237
2947,825,2583,2024
1823,845,1795,581
1057,192,1191,596
1933,458,1863,1194
889,379,527,233
2016,2534,2407,1966
888,389,813,603
2539,1623,3131,733
668,253,497,230
653,380,676,450
765,94,1263,182
2400,391,2986,1331
2357,500,2598,1629
614,262,965,316
1065,1121,924,178
2283,390,3135,1018
1010,152,1045,250
3094,960,2775,569
2290,645,2636,645
1581,276,2023,1538
1620,343,1901,917
2503,309,2295,443
515,91,629,208
2846,637,2844,2051
758,446,709,626
1672,423,1980,1892
1400,1872,1350,803
1570,1154,1876,988
498,201,750,367
1426,839,1639,600
1871,2160,2272,989
1694,586,2343,931
727,391,814,364
1544,392,2096,1431
1462,983,2413,1318
1524,1842,1975,1175
3075,1324,3307,450
755,442,1024,457
1918,1294,2292,346
966,1128,1069,1506
2403,2850,2429,1994
2886,2694,2948,1411
779,899,1015,370
777,363,888,66
2584,2291,3129,3123
2387,3320,2991,1015
1260,3558,1427,1371
551,875,562,1086
1102,858,1156,1008
2617,3999,2793,2021
2132,3789,2214,2243
1870,1098,1836,2310
3597,2457,4069,3155
1411,2325,2320,1182
1960,2494,2321,2168
1419,3427,1350,2582
2427,3657,2341,3288
1033,1598,1471,1666
562,380,636,654
461,467,992,583
618,483,732,1340
1053,2558,1158,1792
2977,4648,3904,2659
2151,1148,3005,3993
1340,2216,1557,1537
1335,1761,1919,4667
1048,1255,1258,1689
3837,5313,4696,2682
1602,1772,2094,1444
284,455,297,483
2854,3374,3870,3682
1005,1350,880,648
2024,3239,1795,1099
3170,6152,4000,10598
1348,2304,1913,1785
835,615,1183,562
1811,2497,1878,1524
820,317,1075,1768
1532,620,2256,1797
1401,844,1916,3861
1521,1999,1793,2193
839,2187,1143,1949
1462,823,1772,1221
852,1064,911,963
214,392,240,283
744,295,1201,1441
1729,1535,2312,6437
335,452,330,377
2181,1919,2256,4753
2986,3508,3640,4429
1583,2588,2399,1907
1778,1064,1869,1793
745,1277,539,455
701,1125,1012,1342
2823,3775,3520,4275
801,523,1029,262
2132,2777,2328,2932
1373,1873,1260,1507
564,815,655,932
2239,1256,2522,772
1299,1156,1185,2132
2661,3051,2911,10078
1162,2501,1619,1971
1224,4059,1425,1383
2459,4214,2946,1508
4203,4062,4466,8137
1988,4252,2066,1651
1246,1052,1550,3898
1243,897,1426,3187
2271,3862,1641,1068
3707,4210,3847,3274
195,442,220,238
1190,1023,1252,1352
2950,4142,3844,3772
1835,2630,2476,1635
1803,1608,1792,968
539,973,713,670
534,693,643,973
1265,1049,1508,1175
2616,1267,2588,3987
1845,2376,1892,1141
1204,430,1421,1499
3428,3475,3803,4539
710,1204,952,574
994,1286,1105,1896
2864,2324,2941,7249
220,223,758,1119
980,841,1576,3487
316,282,465,504
1514,1377,1999,1256
705,877,920,1013
2768,1797,3924,4947
1517,1535,1685,1992
1706,1235,1786,1508
3731,1611,4713,4517
1770,2088,1295,1460
1151,720,972,753
872,846,1434,2607
980,908,1444,750
619,644,939,491
1556,3341,1337,939
1588,2432,1869,1601
1479,2136,1507,622
2128,1781,2379,619
1148,3013,1435,1886
1652,2479,2364,3496
3508,2891,3981,7844
773,1835,993,1519
2838,2665,3180,2830
1576,1898,1943,2064
1781,3841,2494,1796
4544,5898,5044,11617
4526,4080,5087,14083
848,1390,1128,1071
1524,1902,1882,2496
972,1436,855,272
4494,6300,4793,2428
1565,1016,1254,713
2586,3101,3037,3515
926,815,1524,2830
919,921,1130,2092
393,260,457,688
1665,1307,2104,2407
957,2171,962,1352
2091,1355,3537,5759
1584,1161,2022,1522
837,3252,653,322
1705,1003,1987,2029
3846,3012,4130,2159
1770,2675,1558,2643
2458,2869,4093,3868
2980,3770,3926,3341
1240,774,1382,2078
2437,1460,2976,1152
1463,1485,1930,1676
2929,5947,3905,2629
3331,4314,4291,8116
4709,5285,4950,8138
312,689,371,324
2188,2302,3734,12248
906,647,820,987
2015,358,2764,2042
307,613,429,466
835,837,1083,1444
2282,3314,3501,4358
1036,710,1170,1158
1355,5607,1811,4207
523,594,496,272
816,528,726,1987
2122,2664,3273,2532
1602,2229,2098,4122
701,1200,964,832
2218,1835,2415,2976
1162,2322,1057,1569
844,718,976,501
3624,4946,4990,6392
1112,622,1275,1083
1382,2903,1504,2320
502,715,496,581
5087,2508,6249,3433
1883,2174,2337,687
2432,2865,2992,2985
3333,4110,4414,3264
419,618,871,1300
2119,2185,2502,1714
2985,1564,3365,4035
321,484,122,24
3763,7031,4538,5607
832,419,1365,1716
1673,2040,2128,4135
288,327,80,96
787,836,1097,1791
1582,2525,2071,1334
1733,1789,2176,981
562,701,480,314
3119,1981,3282,2923
629,800,763,686
1170,1747,1170,871
1973,2140,2670,3705
3263,4891,3189,4020
1973,2689,2381,3566
2200,4281,3056,4008
1305,1226,1396,1274
3562,7587,4007,2778
946,379,1765,2331
1941,2620,2096,1496
706,784,1099,692
762,1396,835,1180
642,1716,493,852
2123,1579,2032,1760
2963,2074,3308,1341
2974,4881,3424,2335
4797,11658,5824,5216
853,1006,768,935
1423,1125,1988,1348
3000,4755,3520,2648
2403,2435,3419,1433
2447,2143,2300,1195
1836,2881,2300,6149
1332,2019,1748,4421
1238,2134,1581,2342
762,369,935,979
1648,3077,2026,3735
2297,1669,2269,1694
4794,6061,5670,6623
749,1574,937,580
1126,626,1370,3838
1171,1239,950,1105
2887,4521,3346,5875
719,653,675,918
361,679,383,739
769,1318,919,1364
2459,3713,2631,1704
540,332,630,838
1933,1745,2019,1654
1856,3816,2809,5896
676,564,885,642
624,466,740,690
770,686,1049,1229
2244,7459,3699,6013
2212,4344,2218,3247
1062,954,1466,2053
3655,1763,4793,6146
1818,1619,2104,3102
367,505,445,241
1978,4363,2305,2440
4985,7722,5819,5754
521,983,1185,2404
1984,2049,2136,554
528,211,774,247
1320,997,1807,1059
1055,678,1281,1848
2172,1326,2814,1734
1096,1187,1611,1620
1503,1131,1247,840
5710,10512,7458,10760
3174,1865,3191,3456
1495,2127,1947,1808
3085,1612,3310,2964
1451,1548,1644,3173
1539,1771,2207,2125
2120,2748,2940,1842
6008,18610,7481,15442
1099,1056,1071,1342
988,1792,1475,2231
2915,2296,3506,3129
846,899,1092,349
3209,3685,3421,2148
2503,3771,2861,4177
523,537,864,711
1743,1600,2121,3498
1100,2201,1385,3386
1518,1046,1654,988
3635,1192,4841,9564
1466,1642,1565,1695
881,598,1164,776
4120,2832,4876,3761
1591,3387,2154,2540
925,913,952,931
231,421,276,204
2163,2708,2489,3497
2223,2149,2915,2665
1320,1774,1612,2457
1427,2586,1862,1849
530,504,729,776
966,494,1149,904
1624,2820,2116,1714
5622,4984,7631,5534
2875,3106,4098,5438
1483,1705,2015,3877
4251,4118,6217,4672
1063,2083,1604,2981
2044,3374,2269,2121
607,344,448,439
3839,1538,4236,4926
3880,4962,4543,5284
1518,1637,1936,4177
1940,2294,2169,2081
925,400,1138,1020
571,799,595,1199
809,1555,598,405
1912,1756,1795,1945
4743,6880,5971,7208
14807,15942,18280,16230
6316,10570,6614,2413
1746,1422,2102,1115
1030,1200,1123,1050
1894,1879,1753,3155
691,905,720,1310
3579,4980,4384,5203
197,155,154,207
1710,1835,1761,967
858,870,1004,1168
369,231,608,771
1361,1516,1439,983
2918,1898,4047,2812
1192,1038,1788,1200
1384,2729,2006,2429
1275,2326,1818,2246
1516,2006,1683,2747
1759,2522,1392,1449
2080,1878,2179,2170
948,1266,1306,1319
2816,4404,3666,2238
353,343,340,162
338,388,482,371
1950,1462,2230,1616
2872,3353,3056,4258
927,1507,1016,1133
1005,1715,1256,1597
1243,1839,1825,1783
479,466,1026,840
950,1024,1194,2108
1078,2118,1759,2151
1336,2147,1631,3431
2921,1886,3375,2484
402,791,424,728
817,1296,728,793
1736,2183,2365,803
2368,2089,2363,2874
2704,1480,2650,1526
697,547,1158,2432
373,347,271,419
1242,1511,1719,2875
600,577,827,628
754,733,1000,1088
147,123,384,117
1984,2882,2398,4941
1719,2624,2719,1512
1605,1936,1868,1612
2842,3706,3729,5200
4074,2728,4740,4319
835,655,1320,2264
1328,1177,1381,1553
409,574,764,1263
1526,1894,2522,1572
1356,4238,2034,547
867,1003,1017,764
890,1816,1245,1067
3657,4445,5296,9113
1321,3210,2083,489
1460,1627,1786,1511
1042,728,1143,522
3936,3683,4208,2476
671,447,1255,2048
512,1388,811,663
290,360,343,136
1847,2917,2792,2753
1986,2198,2586,1519
2330,1271,3739,3467
738,919,815,1169
1066,1241,1705,2557
2256,2826,3044,4613
3304,2447,4302,3842
2483,4733,2766,5783
829,952,923,186
451,269,513,666
844,2265,1163,1284
1164,860,1950,1908
2109,754,1630,1053
2822,1645,2870,3400
3643,3044,3782,3197
907,1243,1339,1154
781,818,771,581
1402,913,1517,1707
1689,891,1697,894
1344,1096,1980,1285
3805,3195,4273,2130
2392,3282,3831,2208
782,401,979,521
2400,2524,2847,2393
1619,1054,2179,635
2191,2642,2743,855
724,301,758,675
741,714,1063,762
1905,2054,2203,1602
1046,527,1137,509
2068,1404,2609,1586
2163,1091,2570,1789
1457,779,1467,656
890,827,1119,974
1870,1198,2050,919
1743,900,2269,1047
636,484,1121,1027
1531,1912,1548,460
804,356,675,475
956,800,1511,792
1793,1930,1735,1104
880,273,628,364
6093,4235,8177,5223
1454,552,1461,1924
768,517,884,728
570,186,619,319
1252,1112,1933,926
1138,1549,1181,986
659,191,698,378
867,647,1303,1490
1572,758,2204,924
2169,1436,2631,626
1281,874,1524,1092
722,563,910,604
1206,389,1481,1000
1009,306,1318,1473
696,252,607,463
1986,1890,2156,888
915,292,962,704
3395,1779,4472,2902
765,687,711,163
1240,792,932,819
1205,1116,1718,1245
3163,1726,3452,1502
729,504,656,802
2382,1665,3494,2183
2317,2113,2972,2304
1081,650,1556,594
2076,1150,3075,4891
1590,3353,2129,1855
2020,3471,2104,3527
925,1314,1281,1456
1906,1222,2984,2143
2549,4753,2555,2293
1292,1420,1529,1734
1637,1445,2011,1783
1215,1420,1019,1075
976,1543,822,665
433,504,929,609
1318,1416,1519,868
902,1313,992,2040
1010,1179,1463,1576
1246,768,1103,663
1852,2446,2233,2530
973,1137,1279,1687
3346,4923,2992,3011
511,649,779,575
1701,2299,2355,2332
348,201,627,667
2375,4834,3056,5375
2757,4424,3338,2792
1789,1402,2368,2307
2113,1582,2513,1148
1697,2706,2097,2511
4681,5363,6213,6144
2021,1738,2721,3142
1637,1408,1782,1470
1288,1038,1623,3638
5523,2853,6630,11331
1214,1715,1765,1083
1043,2999,1277,1046
1708,3367,1976,1680
1608,2689,1487,2062
683,271,1129,1420
1945,3657,1840,3576
1094,1877,1216,2030
931,1637,813,975
2260,566,2682,1258
806,292,1115,1143
1705,1189,1985,1553
2088,1374,2453,3141
1263,1383,2299,1998
3042,4535,3103,2244
3458,2250,4031,2177
1253,1009,1341,974
1209,2134,1483,837
3434,3292,3787,6545
3919,1458,5093,5923
1765,1632,2640,5051
742,602,617,532
512,673,710,1283
2884,5418,3512,7086
728,1800,689,571
4257,6814,4237,4525
1273,443,1478,1782
2201,1711,2551,2361
3007,2884,3962,7992
1064,841,1251,2365
497,424,429,344
2103,1936,2814,3081
1914,2823,2460,1789
1091,904,1686,828
858,851,762,987
1289,1564,1160,788
1564,2666,2005,3395
1125,579,1236,1287
1276,1305,1596,1559
646,1834,569,501
5460,5421,8295,11116
1165,750,1520,1733
2311,1684,2946,3877
4078,2763,4301,4042
1729,2909,2107,3789
1109,1967,1242,1014
1269,664,1935,1635
2070,980,2550,620
736,982,762,578
1783,1832,2084,2700
694,1078,1057,612
1714,3954,1736,905
5721,5676,6389,4842
1875,2051,2264,2225
1371,2423,1788,2448
1124,1986,1142,1328
1189,1003,2039,2152
1511,2764,1490,2498
3090,4675,3871,5175
1188,615,1181,1553
1317,993,1601,1977
2543,1821,3598,2157
2137,2931,2691,1735
1406,2992,1667,1711
280,602,448,773
1029,1574,1449,544
2176,3519,1827,3964
3124,8808,4258,3404
881,809,918,1179
1157,1650,1095,1163
1970,1632,2279,1827
229,342,248,249
1882,2390,2055,1749
1513,2229,1433,1982
1410,1598,1640,2473
1192,884,1362,3136
558,710,335,114
1215,513,1945,1813
777,1236,983,744
916,1119,1108,1080
2056,1602,2591,1446
2455,3032,3470,4442
1817,2689,2037,3001
1939,2660,2128,3155
896,1293,1081,1132
749,2079,774,1002
1219,1140,1431,1607
1283,3377,1966,2339
312,325,516,230
2524,3653,3378,1901
2317,2323,2223,1035
1802,1540,2172,3159
1581,1969,1882,2952
420,392,506,800
6142,5748,7864,6268
2142,4848,2525,2232
389,347,389,323
905,1084,1018,1499
2276,2617,3013,1388
2172,3301,2667,1646
1684,2841,2014,1426
6630,2679,8666,12699
1201,1033,2184,5224
1649,2363,2509,3080
1849,2367,2190,1381
510,830,730,400
1633,3480,1957,1386
1069,688,1336,1919
434,135,604,619
1347,3025,1474,1674
411,517,326,701
2383,2042,2686,6889
715,524,606,407
3352,3682,3035,3618
1521,885,1681,1886
2273,1283,2172,2776
1027,1600,1449,1077
1649,2232,2689,3345
893,887,1907,2919
1830,1749,2296,1036
959,626,945,619
379,680,713,1162
811,657,1291,1544
4887,7569,5285,5885
3571,3540,3335,3651
1551,1409,1863,1589
1460,3915,1216,1275
4682,3477,5511,11641
292,199,358,174
1506,1646,2053,1354
868,1117,970,460
2277,4028,2821,3998
2289,3425,3123,4222
4332,3863,4845,6170
1524,1566,1550,990
2486,4345,3184,2391
1996,5956,2452,2980
1294,1593,1498,2767
1016,1238,1264,2024
434,1090,581,773
1789,3207,1957,2182
1106,1941,942,866
2357,2124,2910,2920
1470,1342,1479,1252
1751,1960,2139,2029
2434,3163,3634,4194
2202,1873,2823,2011
2348,5352,2192,3875
812,619,955,1399
1479,3293,1849,3032
1959,2737,2725,1472
2725,3194,3296,3444
2057,1364,2657,1908
2460,1745,3639,3721
1278,2013,1375,1806
1113,1213,1312,1599
2935,4484,3008,1992
1820,822,2352,1608
1840,2821,1851,1555
1449,3220,1324,3179
575,501,656,771
1193,659,1377,1756
4009,4859,4952,5589
2223,2160,2766,3089
1047,1168,1380,1240
4102,6551,4642,2712
1032,897,1247,1560
1462,2982,1552,1005
1711,1630,1467,821
2073,3895,2270,3038
2364,2002,2263,3637
1056,1820,1513,2191
2523,1467,2832,3997
740,1185,906,1369
1779,2954,1851,1624
2076,1017,1422,1169
1468,2145,1490,1765
931,1793,1587,1090
1621,2183,1785,1751
784,1126,1441,1045
1464,2865,2177,2135
3094,2246,3510,6746
1234,2000,1468,1525
1958,1812,2261,3717
299,266,443,261
511,356,676,460
902,524,960,822
2701,3394,3716,4220
2330,3176,2381,3100
469,563,401,422
1034,892,1056,1280
841,633,1045,1013
1285,2229,1872,947
574,1693,640,1027
1541,1105,1357,554
726,242,1000,1933
767,958,992,1060
1957,2841,2259,3287
1470,867,1383,1059
2130,2629,3074,2328
285,549,377,759
952,2552,1482,2364
1186,3253,1237,1796
2153,2389,2894,2184
2741,1680,3707,3856
390,483,397,579
1692,2671,1886,3633
1067,1561,1598,1706
456,231,557,531
1322,1349,1534,2007
1478,1632,1664,1214
1450,3824,1656,2846
295,564,579,260
1235,1746,2290,2966
672,378,1231,978
1407,1728,1729,2047
1036,1340,950,1401
3057,5076,5645,8252
950,1051,1723,2400
1091,1176,1404,1136
2941,3233,3530,2013
327,264,554,430
216,531,377,185
961,1316,741,301
1315,1545,1734,604
924,457,1260,2670
1523,919,1701,1863
8033,6026,9255,7747
419,512,483,536
1980,1396,2632,6182
4286,3679,5949,12780
1092,854,1200,2237
4620,4843,6023,9619
1585,3359,2529,2139
1869,1094,1800,948
615,281,775,728
1958,1124,2733,3163
4291,2592,6208,8108
4414,5154,5657,5464
1385,708,1801,1570
261,53,437,362
874,2174,1490,1818
1786,2250,1825,981
1835,4790,2614,2497
832,741,786,795
728,816,1368,1740
619,645,772,285
497,239,580,820
733,810,1410,2242
2240,2705,3338,1923
1643,1489,1366,1507
1153,1956,1573,777
572,879,890,1293
2838,3595,3695,2188
3519,2619,4148,5170
2223,2806,3142,4772
1961,3089,2519,2561
1067,775,1445,2856
1317,1075,1677,2669
2098,4171,2640,1491
2515,4351,2416,3048
1390,1294,1822,3513
1276,1210,1293,2096
2320,3169,2499,2430
414,548,697,361
1631,2668,2042,803
2177,1674,2535,2173
2308,4265,3062,5499
1222,1067,1722,1010
2445,1683,2664,4792
1267,1010,1620,1635
2660,2887,3390,2462
1418,1272,1596,505
2082,2332,2376,3745
1369,2795,1257,1192
954,2087,1239,1109
1486,1187,1878,1806
1558,1305,1903,1734
1223,632,1297,1625
1006,1589,979,690
1124,1220,1182,1655
1724,1328,2363,3007
3942,3301,3900,3336
1451,2352,1930,2116
1435,856,1354,2685
1852,2818,2096,1762
1924,2434,1787,1213
4312,2566,4617,2531
428,114,991,1349
742,1896,572,916
2460,2718,3265,2954
1055,1478,1297,2294
2392,1870,3456,2398
744,2071,1001,556
877,682,1240,554
517,391,498,971
951,601,1308,1394
1914,1208,1800,4757
2328,2922,2252,3067
2653,4441,3619,3183
3569,2086,4148,2697
1487,1670,2043,2481
1048,1671,972,1228
3146,2943,4135,4008
2336,3333,2636,2563
604,493,513,635
1223,1989,1992,2743
2693,3504,3203,2028
470,412,693,1159
766,901,1056,1582
578,477,519,764
673,584,887,210
3425,4909,4536,5907
2215,1927,2750,3217
1323,1118,1369,885
1542,2162,2214,1217
2773,2334,3864,2066
1398,499,1936,526
654,363,485,267
950,577,1557,611
2972,593,4265,1071
1915,1001,2530,1872
584,532,877,482
1123,465,1184,352
688,317,998,364
2107,907,2373,1410
4315,1209,4213,2557
1314,1186,1191,320
2347,923,3008,644
2117,1085,2613,1358
2200,1621,2440,1984
1862,414,2246,1888
1415,386,1804,1436
1465,726,1823,608
1611,975,2050,566
2875,1401,3360,2343
394,83,512,612
1339,336,2099,357
754,250,1115,1329
768,250,908,840
601,148,561,268
3276,3609,4538,2397
2420,1424,2777,1349
993,1062,1190,524
1718,1116,2112,564
2065,2386,2246,2321
2379,1277,2722,160
2789,1965,3629,2409
2784,2378,3609,1793
2252,595,3220,844
3387,2448,3661,3351
1505,143,1978,1192
564,205,557,200
